challenge_id,title,description,winner_quantity,start_date,end_date,reward,creation_date,last_modification,is_finished
2fd306d2-72ba-4b4e-a210-b0c59110cf6d,"Reto del Mes: Pastas Italianas","Crea la mejor receta de pasta casera con ingredientes frescos.",3,2024-12-01,2024-12-31,"Cena en un restaurante italiano",2024-11-20T12:00:00,2024-11-21T15:00:00,false
1ea22d6b-75c5-4b4d-a24c-9d257b295b76,"Desafío Vegano Creativo","Prepara una receta completamente vegana usando ingredientes inusuales.",2,2024-11-15,2024-12-15,"Tarjeta de regalo de $100 para una tienda de alimentos saludables",2024-11-10T10:00:00,2024-11-18T14:00:00,true
e4cd54e3-ff4d-4913-827e-a4cc89d63f30,"Postres de Temporada","Diseña un postre navideño que impresione a los jueces.",5,2024-12-10,2025-01-10,"Set de utensilios de cocina premium",2024-11-22T08:30:00,2024-11-22T10:00:00,false
d84211f4-ef5a-4c35-9794-dc4c675c32c6,"Dulces Navideños","Comparte tu mejor receta de dulces o galletas navideñas. ¡Impresiona con la decoración!","5","2024-12-01","2024-12-25","Cesta gourmet con productos navideños","2023-11-22T12:10:00","2023-11-22T12:10:00",true
8f33bad2-50de-43b2-8bed-13bc145def2a,"El Reto del Chocolate","Haz un postre único con chocolate como ingrediente principal.","4","2024-02-01","2024-02-14","Suscripción de un mes a un club de chocolates","2023-11-22T12:30:00","2023-11-22T12:30:00",false
964d7b72-fd3d-4430-aaba-fcbf3fd27e86,"Batalla de Ensaladas","Prepara una ensalada que sea tanto nutritiva como deliciosa, usando al menos 3 ingredientes frescos.","3","2024-04-01","2024-04-30","Tarjeta regalo para un mercado local","2023-11-22T12:40:00","2023-11-22T12:40:00",false
02b6dbcd-407a-463b-b28a-ca0aa11531af,"Sopas para el Invierno","Prepara una sopa o crema reconfortante ideal para los días fríos. Debe incluir al menos un vegetal de temporada.","2","2024-01-10","2024-01-25","Cacerola de acero inoxidable","2023-11-22T12:50:00","2023-11-22T12:50:00",false
dbf98a78-edfe-45bb-9921-cce8eb7d5b87,"Desayunos Saludables","Diseña un desayuno nutritivo y creativo, bajo en calorías y lleno de sabor.","3","2024-05-01","2024-05-15","Juego de tazas y bowls personalizados","2023-11-22T13:00:00","2023-11-22T13:00:00",false
3ed21022-1f83-4fa1-925b-9653760c61b9,"Cocina Internacional","Presenta una receta representativa de otro país, destacando los ingredientes y técnicas tradicionales.","4","2024-06-01","2024-06-30","Curso online de cocina internacional","2023-11-22T13:10:00","2023-11-22T13:10:00",false

